"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
15,0.02,0,-36,1.47036781810722
15,0.02,0,-35,1.45635439633563
15,0.02,0,-34,1.44118880089353
15,0.02,0,-33,1.42497728190274
15,0.02,0,-32,1.40783014253772
15,0.02,0,-31,1.38986085873697
15,0.02,0,-30,1.37118518288561
15,0.02,0,-29,1.35192024295495
15,0.02,0,-28,1.3321836487314
15,0.02,0,-27,1.31209261672187
15,0.02,0,-26,1.2917631250783
15,0.02,0,-25,1.27130910943663
15,0.02,0,-24,1.25084170991396
15,0.02,0,-23,1.23046857865689
15,0.02,0,-22,1.21029325629077
15,0.02,0,-21,1.19041462439787
15,0.02,0,-20,1.17092643976845
15,0.02,0,-19,1.15191695464569
15,0.02,0,-18,1.13346862554973
15,0.02,0,-17,1.11565791154946
15,0.02,0,-16,1.09855516108718
15,0.02,0,-15,1.08222458469121
15,0.02,0,-14,1.06672430917322
15,0.02,0,-13,1.0521065072447
15,0.02,0,-12,1.03841759494165
15,0.02,0,-11,1.02569848785996
15,0.02,0,-10,1.01398490601503
15,0.02,0,-9,1.00330771618328
15,0.02,0,-8,0.993693299890036
15,0.02,0,-7,0.985163934803081
15,0.02,0,-6,0.977738177189252
15,0.02,0,-5,0.971431233302863
15,0.02,0,-4,0.966255308098582
15,0.02,0,-3,0.96221992048908
15,0.02,0,-2,0.959332175480972
15,0.02,0,-1,0.957596984894671
15,0.02,0,0,0.957017229969871
15,0.02,0,1,0.957593860936749
15,0.02,0,2,0.959325930545602
15,0.02,0,3,0.962210560543088
15,0.02,0,4,0.966242842106144
15,0.02,0,5,0.971415673240052
15,0.02,0,6,0.977719538059895
15,0.02,0,7,0.985142234653082
15,0.02,0,8,0.993668559816759
15,0.02,0,9,1.00327996033623
15,0.02,0,10,1.01395416158375
15,0.02,0,11,1.02566478504505
15,0.02,0,12,1.03838096690467
15,0.02,0,13,1.05206699003288
15,0.02,0,14,1.06668194161543
15,0.02,0,15,1.08217940826165
15,0.02,0,16,1.09850721973409
15,0.02,0,17,1.11560725148661
15,0.02,0,18,1.13341529500918
15,0.02,0,19,1.15186100359117
15,0.02,0,20,1.17086791956956
15,0.02,0,21,1.1903535874661
15,0.02,0,22,1.21022975567965
15,0.02,0,23,1.23040266762941
15,0.02,0,24,1.25077344148151
15,0.02,0,25,1.27123853587521
15,0.02,0,26,1.29169029742856
15,0.02,0,27,1.31201758428101
15,0.02,0,28,1.33210645854621
15,0.02,0,29,1.35184093932634
15,0.02,0,30,1.37110380689617
15,0.02,0,31,1.38977744781411
15,0.02,0,32,1.40774473006569
15,0.02,0,33,1.42488989689738
15,0.02,0,34,1.44109946775402
15,0.02,0,35,1.45626313468715
15,0.02,0,36,1.47027464274805
15,0.02,0,37,1.48303264320689
15,0.02,0,38,1.49444150893578
15,0.02,0,39,1.50441210194491
15,0.02,0,40,1.51286248384948
15,0.02,0,41,1.51971856095486
15,0.02,0,42,1.52491465665857
15,0.02,0,43,1.52839400496194
15,0.02,0,44,1.5301091600418
15,0.02,0,45,1.53002231803352
15,0.02,0,46,1.52810554840225
15,0.02,0,47,1.52434093350948
15,0.02,0,48,1.51872061619941
15,0.02,0,49,1.51124675641557
15,0.02,0,50,1.50193139899688
15,0.02,0,51,1.49079625587778
15,0.02,0,52,1.47787240691594
15,0.02,0,53,1.46319992448026
15,0.02,0,54,1.44682742774166
15,0.02,0,55,1.42881157330982
15,0.02,0,56,1.40921648944475
15,0.02,0,57,1.38811316153754
15,0.02,0,58,1.36557877689737
15,0.02,0,59,1.34169603710139
15,0.02,0,60,1.31655244626176
15,0.02,0,61,1.29023958354361
15,0.02,0,62,1.26285236813327
15,0.02,0,63,1.23448832461641
15,0.02,0,64,1.20524685638656
