"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
15,0.02,0,-36,0.317300837225695
15,0.02,0,-35,0.301105203251163
15,0.02,0,-34,0.286173581724885
15,0.02,0,-33,0.272414933668835
15,0.02,0,-32,0.25972600071412
15,0.02,0,-31,0.247993631714874
15,0.02,0,-30,0.237097307538498
15,0.02,0,-29,0.22691182000001
15,0.02,0,-28,0.217310055641808
15,0.02,0,-27,0.208165830495172
15,0.02,0,-26,0.199356718283968
15,0.02,0,-25,0.19076681193154
15,0.02,0,-24,0.182289356887626
15,0.02,0,-23,0.173829194864836
15,0.02,0,-22,0.165304958198796
15,0.02,0,-21,0.156650958320748
15,0.02,0,-20,0.147818716808964
15,0.02,0,-19,0.138778094164222
15,0.02,0,-18,0.129517979772424
15,0.02,0,-17,0.120046516346479
15,0.02,0,-16,0.110390843284548
15,0.02,0,-15,0.100596355581402
15,0.02,0,-14,0.0907254878612913
15,0.02,0,-13,0.0808560463880979
15,0.02,0,-12,0.0710791251336415
15,0.02,0,-11,0.0614966547023698
15,0.02,0,-10,0.0522186446644646
15,0.02,0,-9,0.0433601901923451
15,0.02,0,-8,0.0350383224086886
15,0.02,0,-7,0.0273687881663624
15,0.02,0,-6,0.0204628487877622
15,0.02,0,-5,0.0144241883716116
15,0.02,0,-4,0.00934602050430493
15,0.02,0,-3,0.00530847757101704
15,0.02,0,-2,0.00237635943989903
15,0.02,0,-1,0.000597308291464716
15,0.02,0,0,4.64089574305132e-07
15,0.02,0,1,0.000595641038556153
15,0.02,0,2,0.00237304981933264
15,0.02,0,3,0.00530357398113432
15,0.02,0,4,0.0093395921562113
15,0.02,0,5,0.0144163213470339
15,0.02,0,6,0.0204536409806151
15,0.02,0,7,0.0273583432681102
15,0.02,0,8,0.0350267431263377
15,0.02,0,9,0.043347570909874
15,0.02,0,10,0.0522050637730486
15,0.02,0,11,0.0614821668315428
15,0.02,0,12,0.0710637535145544
15,0.02,0,13,0.0808397755716186
15,0.02,0,14,0.090708256998452
15,0.02,0,15,0.100578052452546
15,0.02,0,16,0.110371299237556
15,0.02,0,17,0.120025502274928
15,0.02,0,18,0.129495203232806
15,0.02,0,19,0.138753197698789
15,0.02,0,20,0.14779127750869
15,0.02,0,21,0.156620488632504
15,0.02,0,22,0.165270907953153
15,0.02,0,23,0.17379095447671
15,0.02,0,24,0.182246261661889
15,0.02,0,25,0.190718147389895
15,0.02,0,26,0.199301726417946
15,0.02,0,27,0.208103716842734
15,0.02,0,28,0.217239997081254
15,0.02,0,29,0.226832973154099
15,0.02,0,30,0.237008817683022
15,0.02,0,31,0.247894642088641
15,0.02,0,32,0.259615662130466
15,0.02,0,33,0.27229241433174
15,0.02,0,34,0.286038077154777
15,0.02,0,35,0.300955946226133
15,0.02,0,36,0.317137107642888
15,0.02,0,37,0.334658347603562
15,0.02,0,38,0.353580330470268
15,0.02,0,39,0.373946071038465
15,0.02,0,40,0.395779720405414
15,0.02,0,41,0.419085678508592
15,0.02,0,42,0.443848040252754
15,0.02,0,43,0.470030376244279
15,0.02,0,44,0.497575843572985
15,0.02,0,45,0.526407616880867
15,0.02,0,46,0.556429625178215
15,0.02,0,47,0.587527575545464
15,0.02,0,48,0.619570241020936
15,0.02,0,49,0.652410986641692
15,0.02,0,50,0.685889504793015
15,0.02,0,51,0.719833728743448
15,0.02,0,52,0.754061891504364
15,0.02,0,53,0.788384695959428
15,0.02,0,54,0.822607561558773
15,0.02,0,55,0.856532912759345
15,0.02,0,56,0.889962474804842
15,0.02,0,57,0.922699543357906
15,0.02,0,58,0.954551195899146
15,0.02,0,59,0.985330414660284
15,0.02,0,60,1.01485809312357
15,0.02,0,61,1.04296490075105
15,0.02,0,62,1.06949298355347
15,0.02,0,63,1.09429748131258
15,0.02,0,64,1.11724784567069
15,0.02,0,65,1.13822894683359
15,0.02,0,66,1.15714196023058
15,0.02,0,67,1.17390502807418
15,0.02,0,68,1.18845369429628
15,0.02,0,69,1.20074111474724
15,0.02,0,70,1.21073804777409
15,0.02,0,71,1.21843263329201
15,0.02,0,72,1.22382997118868
15,0.02,0,73,1.22695151231713
15,0.02,0,74,1.22783427741456
15,0.02,0,75,1.22652992101346
15,0.02,0,76,1.22310365877918
15,0.02,0,77,1.21763307771448
15,0.02,0,78,1.21020684932436
15,0.02,0,79,1.20092336614833
15,0.02,0,80,1.18988932206491
15,0.02,0,81,1.17721825647943
15,0.02,0,82,1.16302908195385
15,0.02,0,83,1.14744461405919
15,0.02,0,84,1.13059012126258
15,0.02,0,85,1.11259191153851
15,0.02,0,86,1.0935759711525
15,0.02,0,87,1.0736666697387
15,0.02,0,88,1.05298554441201
15,0.02,0,89,1.03165017424782
15,0.02,0,90,1.00977315505229
15,0.02,0,91,0.98746118295189
15,0.02,0,92,0.964814253968401
15,0.02,0,93,0.94192498542375
15,0.02,0,94,0.918878063743686
15,0.02,0,95,0.895749822001333
15,0.02,0,96,0.872607949357706
15,0.02,0,97,0.849511333409968
15,0.02,0,98,0.826510035339886
15,0.02,0,99,0.803645396652898
15,0.02,0,100,0.78095027519947
15,0.02,0,101,0.758449407061058
15,0.02,0,102,0.736159889749848
15,0.02,0,103,0.714091781002079
15,0.02,0,104,0.69224880622904
15,0.02,0,105,0.670629166420404
15,0.02,0,106,0.649226436967674
15,0.02,0,107,0.628030546491989
15,0.02,0,108,0.607028823326176
15,0.02,0,109,0.586207095827211
15,0.02,0,110,0.565550831199909
15,0.02,0,111,0.5450462960198
15,0.02,0,112,0.524681720183647
15,0.02,0,113,0.504448444627629
15,0.02,0,114,0.484342031879763
15,0.02,0,115,0.464363317405457
15,0.02,0,116,0.444519378818654
15,0.02,0,117,0.424824399426884
15,0.02,0,118,0.405300402320522
15,0.02,0,119,0.385977831370952
15,0.02,0,120,0.366895956135222
15,0.02,0,121,0.348103078840557
15,0.02,0,122,0.329656523400167
15,0.02,0,123,0.31162238884444
15,0.02,0,124,0.294075052680464
15,0.02,0,125,0.277096413545266
15,0.02,0,126,0.260774867104634
15,0.02,0,127,0.24520401445857
15,0.02,0,128,0.230481108311133
15,0.02,0,129,0.216705248783173
15,0.02,0,130,0.203975347897774
15,0.02,0,131,0.192387889323719
15,0.02,0,132,0.182034517762315
15,0.02,0,133,0.172999500213929
15,0.02,0,134,0.165357109036975
15,0.02,0,135,0.159168983959149
15,0.02,0,136,0.154481536739056
15,0.02,0,137,0.151323467709143
15,0.02,0,138,0.149703467651846
15,0.02,0,139,0.149608181065054
15,0.02,0,140,0.151000507568962
15,0.02,0,141,0.153818316729409
15,0.02,0,142,0.157973647699756
15,0.02,0,143,0.163352458647671
15,0.02,0,144,0.169814981839675
15,0.02,0,145,0.177196728494984
15,0.02,0,146,0.185310173178735
15,0.02,0,147,0.193947130777582
15,0.02,0,148,0.202881820295599
15,0.02,0,149,0.211874589247605
15,0.02,0,150,0.220676250844464
15,0.02,0,151,0.229032964096892
15,0.02,0,152,0.236691565135648
15,0.02,0,153,0.243405237248781
15,0.02,0,154,0.248939388204915
15,0.02,0,155,0.253077587210026
15,0.02,0,156,0.255627401154479
15,0.02,0,157,0.256425961406387
15,0.02,0,158,0.255345088955771
15,0.02,0,159,0.252295807732945
15,0.02,0,160,0.247232083762869
15,0.02,0,161,0.240153641621178
15,0.02,0,162,0.231107729347461
15,0.02,0,163,0.220189728227171
15,0.02,0,164,0.207542534110073
15,0.02,0,165,0.193354671387199
15,0.02,0,166,0.177857138376496
15,0.02,0,167,0.161319022456707
15,0.02,0,168,0.144041963477566
15,0.02,0,169,0.126353583302021
15,0.02,0,170,0.108600036302851
15,0.02,0,171,0.0911378687652734
15,0.02,0,172,0.0743254030515448
15,0.02,0,173,0.0585138838296424
15,0.02,0,174,0.0440386376362936
15,0.02,0,175,0.0312105027822261
15,0.02,0,176,0.0203077836704319
15,0.02,0,177,0.0115689718803018
15,0.02,0,178,0.00518645611708347
15,0.02,0,179,0.0013014149320372
15,0.02,0,180,5.0909467012409e-08
30,0.02,0,-180,4.96509117651539e-09
30,0.02,0,-179,0.00123977329979016
30,0.02,0,-178,0.00492048634846724
30,0.02,0,-177,0.0109344515919401
30,0.02,0,-176,0.0191062884839378
30,0.02,0,-175,0.0291988745473366
30,0.02,0,-174,0.0409213429156071
30,0.02,0,-173,0.0539388227247993
30,0.02,0,-172,0.0678835497456426
30,0.02,0,-171,0.0823669270075487
30,0.02,0,-170,0.0969920857610172
30,0.02,0,-169,0.111366486901871
30,0.02,0,-168,0.125114111955873
30,0.02,0,-167,0.137886820000458
30,0.02,0,-166,0.149374490746531
30,0.02,0,-165,0.159313631957694
30,0.02,0,-164,0.16749419841141
30,0.02,0,-163,0.173764446271005
30,0.02,0,-162,0.178033727392029
30,0.02,0,-161,0.180273209064768
30,0.02,0,-160,0.180514582493613
30,0.02,0,-159,0.17884689475899
30,0.02,0,-158,0.175411701390767
30,0.02,0,-157,0.170396787867555
30,0.02,0,-156,0.164028746848991
30,0.02,0,-155,0.156564722923945
30,0.02,0,-154,0.148283647957713
30,0.02,0,-153,0.139477288210946
30,0.02,0,-152,0.130441410302779
30,0.02,0,-151,0.121467348283223
30,0.02,0,-150,0.112834220402542
30,0.02,0,-149,0.104802003692452
30,0.02,0,-148,0.0976056293990184
30,0.02,0,-147,0.0914502148288645
30,0.02,0,-146,0.0865074993906311
30,0.02,0,-145,0.0829135064493793
30,0.02,0,-144,0.08076740972556
30,0.02,0,-143,0.080131544720813
30,0.02,0,-142,0.0810324730655814
30,0.02,0,-141,0.083462981440278
30,0.02,0,-140,0.0873848771690599
30,0.02,0,-139,0.0927324297572072
30,0.02,0,-138,0.0994163012962897
30,0.02,0,-137,0.10732780831894
30,0.02,0,-136,0.116343362686115
30,0.02,0,-135,0.126328948640597
30,0.02,0,-134,0.137144506385817
30,0.02,0,-133,0.148648108539496
30,0.02,0,-132,0.160699833666602
30,0.02,0,-131,0.173165259960239
30,0.02,0,-130,0.185918521231317
30,0.02,0,-129,0.19884488600287
30,0.02,0,-128,0.21184283810772
30,0.02,0,-127,0.224825653300825
30,0.02,0,-126,0.237722480680811
30,0.02,0,-125,0.250478949943387
30,0.02,0,-124,0.26305733554324
30,0.02,0,-123,0.275436316695186
30,0.02,0,-122,0.28761037785557
30,0.02,0,-121,0.299588898012625
30,0.02,0,-120,0.311394978952791
30,0.02,0,-119,0.323064062868402
30,0.02,0,-118,0.33464238846376
30,0.02,0,-117,0.346185332345596
30,0.02,0,-116,0.357755679195558
30,0.02,0,-115,0.369421860253745
30,0.02,0,-114,0.381256195216413
30,0.02,0,-113,0.393333167970682
30,0.02,0,-112,0.405727761834194
30,0.02,0,-111,0.418513875292927
30,0.02,0,-110,0.431762834764058
30,0.02,0,-109,0.445542016755683
30,0.02,0,-108,0.459913588028825
30,0.02,0,-107,0.474933369044024
30,0.02,0,-106,0.49064982312781
30,0.02,0,-105,0.507103171437584
30,0.02,0,-104,0.524324631934207
30,0.02,0,-103,0.542335779173117
30,0.02,0,-102,0.561148020768352
30,0.02,0,-101,0.58076218583136
30,0.02,0,-100,0.601168220492106
30,0.02,0,-99,0.622344985722722
30,0.02,0,-98,0.644260153048766
30,0.02,0,-97,0.666870194292935
30,0.02,0,-96,0.690120462192938
30,0.02,0,-95,0.713945359511722
30,0.02,0,-94,0.738268595058296
30,0.02,0,-93,0.763003525808053
30,0.02,0,-92,0.788053585002427
30,0.02,0,-91,0.813312796673796
30,0.02,0,-90,0.838666377442046
30,0.02,0,-89,0.86399142662931
30,0.02,0,-88,0.889157705711018
30,0.02,0,-87,0.914028507842839
30,0.02,0,-86,0.938461617660679
30,0.02,0,-85,0.962310360738743
30,0.02,0,-84,0.985424741011014
30,0.02,0,-83,1.00765266312564
30,0.02,0,-82,1.02884123512916
30,0.02,0,-81,1.0488381450967
30,0.02,0,-80,1.06749310337244
30,0.02,0,-79,1.0846593400059
30,0.02,0,-78,1.1001951448175
30,0.02,0,-77,1.11396543535907
30,0.02,0,-76,1.12584333591615
30,0.02,0,-75,1.1357117486978
30,0.02,0,-74,1.14346489654537
30,0.02,0,-73,1.14900981493648
30,0.02,0,-72,1.15226776983243
30,0.02,0,-71,1.15317557708296
30,0.02,0,-70,1.15168679871952
30,0.02,0,-69,1.14777279158901
30,0.02,0,-68,1.14142358444401
30,0.02,0,-67,1.13264856083939
30,0.02,0,-66,1.12147692700318
30,0.02,0,-65,1.10795794624715
30,0.02,0,-64,1.09216092443998
30,0.02,0,-63,1.07417493454641
30,0.02,0,-62,1.05410827218332
30,0.02,0,-61,1.03208763848842
30,0.02,0,-60,1.00825705125295
30,0.02,0,-59,0.982776490137755
30,0.02,0,-58,0.955820286764962
30,0.02,0,-57,0.927575275439699
30,0.02,0,-56,0.898238725091908
30,0.02,0,-55,0.868016077620603
30,0.02,0,-54,0.837118522062568
30,0.02,0,-53,0.805760437793617
30,0.02,0,-52,0.774156743215893
30,0.02,0,-51,0.742520189017973
30,0.02,0,-50,0.711058637063174
30,0.02,0,-49,0.679972367232018
30,0.02,0,-48,0.649451455104336
30,0.02,0,-47,0.619673263220184
30,0.02,0,-46,0.59080008782909
30,0.02,0,-45,0.562977001559765
30,0.02,0,-44,0.536329930362489
30,0.02,0,-43,0.510964000444082
30,0.02,0,-42,0.486962187780481
30,0.02,0,-41,0.464384299199872
30,0.02,0,-40,0.443266310016239
30,0.02,0,-39,0.423620078783646
30,0.02,0,-38,0.405433454946205
30,0.02,0,-37,0.388670789975311
30,0.02,0,-36,0.373273857000594
30,0.02,0,-35,0.359163177934143
30,0.02,0,-34,0.346239750638487
30,0.02,0,-33,0.334387161785091
30,0.02,0,-32,0.323474063697119
30,0.02,0,-31,0.313356985700421
30,0.02,0,-30,0.303883442390831
30,0.02,0,-29,0.294895292880433
30,0.02,0,-28,0.286232296680591
30,0.02,0,-27,0.277735803641598
30,0.02,0,-26,0.26925250758077
30,0.02,0,-25,0.260638186226553
30,0.02,0,-24,0.251761344261039
30,0.02,0,-23,0.242506671958164
30,0.02,0,-22,0.232778229596908
30,0.02,0,-21,0.222502267867124
30,0.02,0,-20,0.211629597224354
30,0.02,0,-19,0.200137424860655
30,0.02,0,-18,0.188030586811999
30,0.02,0,-17,0.175342114764983
30,0.02,0,-16,0.162133092256384
30,0.02,0,-15,0.148491772919501
30,0.02,0,-14,0.134531953797442
30,0.02,0,-13,0.120390618931426
30,0.02,0,-12,0.106224891712071
30,0.02,0,-11,0.0922083580024659
30,0.02,0,-10,0.078526844866372
30,0.02,0,-9,0.0653737608817196
30,0.02,0,-8,0.0529451225122235
30,0.02,0,-7,0.0414344059285106
30,0.02,0,-6,0.0310273742040059
30,0.02,0,-5,0.0218970353073856
30,0.02,0,-4,0.0141988863212362
30,0.02,0,-3,0.00806659361872333
30,0.02,0,-2,0.00360824736545045
30,0.02,0,-1,0.000903311984881643
30,0.02,0,0,3.72691693538403e-07
30,0.02,0,1,0.000915752651892607
30,0.02,0,2,0.00363304676404146
30,0.02,0,3,0.00810358761648857
30,0.02,0,4,0.0142478280997366
30,0.02,0,5,0.0219575947119422
30,0.02,0,6,0.0310991370277542
30,0.02,0,7,0.0415168732504074
30,0.02,0,8,0.0530377102269965
30,0.02,0,9,0.0654757995710977
30,0.02,0,10,0.0786375801647382
30,0.02,0,11,0.0923269516060347
30,0.02,0,12,0.106350423168949
30,0.02,0,13,0.120522088330948
30,0.02,0,14,0.134668285451809
30,0.02,0,15,0.148631820100154
30,0.02,0,16,0.162275643013112
30,0.02,0,17,0.175485898819112
30,0.02,0,18,0.188174283477808
30,0.02,0,19,0.200279671913204
30,0.02,0,20,0.211769000598767
30,0.02,0,21,0.222637412045644
30,0.02,0,22,0.232907688516958
30,0.02,0,23,0.242629020258152
30,0.02,0,24,0.251875168671448
30,0.02,0,25,0.26074209691213
30,0.02,0,26,0.269345149245214
30,0.02,0,27,0.277815866218575
30,0.02,0,28,0.286298525453254
30,0.02,0,29,0.294946497894762
30,0.02,0,30,0.303918507054622
30,0.02,0,31,0.313374874488239
30,0.02,0,32,0.323473828910308
30,0.02,0,33,0.334367949343695
30,0.02,0,34,0.346200804907159
30,0.02,0,35,0.35910384560587
30,0.02,0,36,0.373193590079344
30,0.02,0,37,0.388569147911123
30,0.02,0,38,0.405310105983502
30,0.02,0,39,0.423474800585929
30,0.02,0,40,0.443098989628142
30,0.02,0,41,0.46419493240165
30,0.02,0,42,0.486750877881287
30,0.02,0,43,0.510730956549804
30,0.02,0,44,0.536075465142765
30,0.02,0,45,0.562701528527938
30,0.02,0,46,0.590504118139485
30,0.02,0,47,0.619357401979898
30,0.02,0,48,0.649116397192373
30,0.02,0,49,0.679618892617474
30,0.02,0,50,0.710687605616433
30,0.02,0,51,0.742132534814363
30,0.02,0,52,0.773753468339638
30,0.02,0,53,0.805342605660734
30,0.02,0,54,0.836687250293817
30,0.02,0,55,0.86757253050906
30,0.02,0,56,0.897784105723258
30,0.02,0,57,0.927110817536234
30,0.02,0,58,0.955347246335717
30,0.02,0,59,0.982296137026624
30,0.02,0,60,1.00777066068349
30,0.02,0,61,1.03159648270798
30,0.02,0,62,1.05361361230998
30,0.02,0,63,1.07367801272004
30,0.02,0,64,1.09166295637343
30,0.02,0,65,1.10746011426564
30,0.02,0,66,1.12098037364979
30,0.02,0,67,1.1321543831123
30,0.02,0,68,1.14093282871765
30,0.02,0,69,1.14728644925683
30,0.02,0,70,1.15120580258152
30,0.02,0,71,1.15270079848627
30,0.02,0,72,1.15180001655955
30,0.02,0,73,1.1485498298225
30,0.02,0,74,1.14301335679378
30,0.02,0,75,1.1352692658543
30,0.02,0,76,1.125410456451
30,0.02,0,77,1.11354264180166
30,0.02,0,78,1.09978285738155
30,0.02,0,79,1.08425791864
30,0.02,0,80,1.06710285016876
30,0.02,0,81,1.04845930698987
30,0.02,0,82,1.02847400681849
30,0.02,0,83,1.00729719015534
30,0.02,0,84,0.985081122946243
30,0.02,0,85,0.961978654379065
30,0.02,0,86,0.938141840236961
30,0.02,0,87,0.913720640148694
30,0.02,0,88,0.888861695125454
30,0.02,0,89,0.863707189993072
30,0.02,0,90,0.838393803756312
30,0.02,0,91,0.813051749596141
30,0.02,0,92,0.787803905121398
30,0.02,0,93,0.762765032684118
30,0.02,0,94,0.738041089025308
30,0.02,0,95,0.713728623239386
30,0.02,0,96,0.68991426201687
30,0.02,0,97,0.666674281324834
30,0.02,0,98,0.64407426408487
30,0.02,0,99,0.622168843973917
30,0.02,0,100,0.601001536163929
30,0.02,0,101,0.580604656586324
30,0.02,0,102,0.56099933210672
30,0.02,0,103,0.542195604771167
30,0.02,0,104,0.524192633981154
30,0.02,0,105,0.5069790010136
30,0.02,0,106,0.490533120665901
30,0.02,0,107,0.474823764917798
30,0.02,0,108,0.459810703306432
30,0.02,0,109,0.445445464157328
30,0.02,0,110,0.431672219856462
30,0.02,0,111,0.418428797949005
30,0.02,0,112,0.405647817979928
30,0.02,0,113,0.393257951633865
30,0.02,0,114,0.381185300883568
30,0.02,0,115,0.369354885532252
30,0.02,0,116,0.357692227767902
30,0.02,0,117,0.346125017191877
30,0.02,0,118,0.334584835317288
30,0.02,0,119,0.323008913857599
30,0.02,0,120,0.311341896370919
30,0.02,0,121,0.299537568145411
