Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.752814
-178,0,0.752814
-176,0,0.752814
-174,0,0.752814
-172,0,0.752814
-170,0,0.752814
-168,0,0.752814
-166,0,0.752814
-164,0,0.752814
-162,0,0.752814
-160,0,0.752814
-158,0,0.752814
-156,0,0.752814
-154,0,0.752814
-152,0,0.752814
-150,0,0.752814
-148,0,0.752814
-146,0,0.752814
-144,0,0.752814
-142,0,0.752814
-140,0,0.752814
-138,0,0.752814
-136,0,0.752814
-134,0,0.752814
-132,0,0.752814
-130,0,0.752814
-128,0,0.752814
-126,0,0.752814
-124,0,0.752814
-122,0,0.752814
-120,0,0.752814
-118,0,0.752814
-116,0,0.752814
-114,0,0.752814
-112,0,0.752814
-110,0,0.752814
-108,0,0.752814
-106,0,0.752814
-104,0,0.752814
-102,0,0.752814
-100,0,0.752814
-98,0,0.752814
-96,0,0.752814
-94,0,0.752814
-92,0,0.752814
-90,0,0.752814
-88,0,0.752814
-86,0,0.752814
-84,0,0.752814
-82,0,0.752814
-80,0,0.752814
-78,0,0.752814
-76,0,0.752814
-74,0,0.752814
-72,0,0.752814
-70,0,0.752814
-68,0,0.752814
-66,0,0.752814
-64,0,0.752814
-62,0,0.752814
-60,0,0.752814
-58,0,0.752814
-56,0,0.752814
-54,0,0.752814
-52,0,0.752814
-50,0,0.752814
-48,0,0.752814
-46,0,0.752814
-44,0,0.752814
-42,0,0.752814
-40,0,0.752814
-38,0,0.752814
-36,0,0.752814
-34,0,0.752814
-32,0,0.752814
-30,0,0.752814
-28,0,0.752814
-26,0,0.752814
-24,0,0.752814
-22,0,0.752814
-20,0,0.752814
-18,0,0.752814
-16,0,0.752814
-14,0,0.752814
-12,0,0.752814
-10,0,0.752814
-8,0,0.752814
-6,0,0.752814
-4,0,0.752814
-2,0,0.752814
0,0,0.752814
2,0,0.752814
4,0,0.752814
6,0,0.752814
8,0,0.752814
10,0,0.752814
12,0,0.752814
14,0,0.752814
16,0,0.752814
18,0,0.752814
20,0,0.752814
22,0,0.752814
24,0,0.752814
26,0,0.752814
28,0,0.752814
30,0,0.752814
32,0,0.752814
34,0,0.752814
36,0,0.752814
38,0,0.752814
40,0,0.752814
42,0,0.752814
44,0,0.752814
46,0,0.752814
48,0,0.752814
50,0,0.752814
52,0,0.752814
54,0,0.752814
56,0,0.752814
58,0,0.752814
60,0,0.752814
62,0,0.752814
64,0,0.752814
66,0,0.752814
68,0,0.752814
70,0,0.752814
72,0,0.752814
74,0,0.752814
76,0,0.752814
78,0,0.752814
80,0,0.752814
82,0,0.752814
84,0,0.752814
86,0,0.752814
88,0,0.752814
90,0,0.752814
92,0,0.752814
94,0,0.752814
96,0,0.752814
98,0,0.752814
100,0,0.752814
102,0,0.752814
104,0,0.752814
106,0,0.752814
108,0,0.752814
110,0,0.752814
112,0,0.752814
114,0,0.752814
116,0,0.752814
118,0,0.752814
120,0,0.752814
122,0,0.752814
124,0,0.752814
126,0,0.752814
128,0,0.752814
130,0,0.752814
132,0,0.752814
134,0,0.752814
136,0,0.752814
138,0,0.752814
140,0,0.752814
142,0,0.752814
144,0,0.752814
146,0,0.752814
148,0,0.752814
150,0,0.752814
152,0,0.752814
154,0,0.752814
156,0,0.752814
158,0,0.752814
160,0,0.752814
162,0,0.752814
164,0,0.752814
166,0,0.752814
168,0,0.752814
170,0,0.752814
172,0,0.752814
174,0,0.752814
176,0,0.752814
178,0,0.752814
180,0,0.752814
-180,2,0.788926
-178,2,0.78768
-176,2,0.78639
-174,2,0.785059
-172,2,0.783688
-170,2,0.782277
-168,2,0.78083
-166,2,0.779348
-164,2,0.777831
-162,2,0.776282
-160,2,0.774703
-158,2,0.773095
-156,2,0.771461
-154,2,0.769801
-152,2,0.768119
-150,2,0.766415
-148,2,0.764692
-146,2,0.762952
-144,2,0.761198
-142,2,0.75943
-140,2,0.757652
-138,2,0.755864
-136,2,0.754071
-134,2,0.752272
-132,2,0.750472
-130,2,0.748672
-128,2,0.746874
-126,2,0.74508
-124,2,0.743293
-122,2,0.741515
-120,2,0.739749
-118,2,0.737995
-116,2,0.736257
-114,2,0.734538
-112,2,0.732838
-110,2,0.73116
-108,2,0.729507
-106,2,0.72788
-104,2,0.726282
-102,2,0.724715
-100,2,0.723181
-98,2,0.721682
-96,2,0.720219
-94,2,0.718795
-92,2,0.717412
-90,2,0.716072
-88,2,0.714776
-86,2,0.713526
-84,2,0.712324
-82,2,0.711171
-80,2,0.710069
-78,2,0.70902
-76,2,0.708025
-74,2,0.707085
-72,2,0.706202
-70,2,0.705377
-68,2,0.704611
-66,2,0.703904
-64,2,0.703259
-62,2,0.702676
-60,2,0.702155
-58,2,0.701698
-56,2,0.701305
-54,2,0.700977
-52,2,0.700714
-50,2,0.700516
-48,2,0.700384
-46,2,0.700318
-44,2,0.700318
-42,2,0.700384
-40,2,0.700516
-38,2,0.700714
-36,2,0.700977
-34,2,0.701305
-32,2,0.701698
-30,2,0.702155
-28,2,0.702676
-26,2,0.703259
-24,2,0.703904
-22,2,0.70461
-20,2,0.705377
-18,2,0.706202
-16,2,0.707085
-14,2,0.708025
-12,2,0.70902
-10,2,0.710069
-8,2,0.71117
-6,2,0.712323
-4,2,0.713525
-2,2,0.714775
0,2,0.716071
2,2,0.717411
4,2,0.718794
6,2,0.720218
8,2,0.72168
10,2,0.723179
12,2,0.724714
14,2,0.726281
16,2,0.727878
18,2,0.729505
20,2,0.731158
22,2,0.732835
24,2,0.734535
26,2,0.736255
28,2,0.737992
30,2,0.739746
32,2,0.741512
34,2,0.74329
36,2,0.745077
38,2,0.74687
40,2,0.748668
42,2,0.750468
44,2,0.752268
46,2,0.754066
48,2,0.75586
50,2,0.757647
52,2,0.759426
54,2,0.761193
56,2,0.762948
58,2,0.764688
60,2,0.76641
62,2,0.768114
64,2,0.769796
66,2,0.771456
68,2,0.77309
70,2,0.774698
72,2,0.776277
74,2,0.777826
76,2,0.779343
78,2,0.780825
80,2,0.782273
82,2,0.783683
84,2,0.785054
86,2,0.786386
88,2,0.787675
90,2,0.788922
92,2,0.790124
94,2,0.791281
96,2,0.792391
98,2,0.793452
100,2,0.794465
102,2,0.795427
104,2,0.796338
106,2,0.797196
108,2,0.798002
110,2,0.798753
112,2,0.79945
114,2,0.800091
116,2,0.800676
118,2,0.801204
120,2,0.801675
122,2,0.802088
124,2,0.802443
126,2,0.80274
128,2,0.802977
130,2,0.803156
132,2,0.803275
134,2,0.803334
136,2,0.803334
138,2,0.803275
140,2,0.803156
142,2,0.802978
144,2,0.802741
146,2,0.802445
148,2,0.80209
150,2,0.801677
152,2,0.801207
154,2,0.800678
156,2,0.800094
158,2,0.799453
160,2,0.798756
162,2,0.798005
164,2,0.7972
166,2,0.796341
168,2,0.795431
170,2,0.794469
172,2,0.793456
174,2,0.792395
176,2,0.791285
178,2,0.790129
180,2,0.788926
-180,4,0.824091
-178,4,0.821702
-176,4,0.819226
-174,4,0.816667
-172,4,0.814026
-170,4,0.811307
-168,4,0.808512
-166,4,0.805643
-164,4,0.802704
-162,4,0.799697
-160,4,0.796626
-158,4,0.793494
-156,4,0.790304
-154,4,0.78706
-152,4,0.783765
-150,4,0.780422
-148,4,0.777036
-146,4,0.77361
-144,4,0.770148
-142,4,0.766654
-140,4,0.763132
-138,4,0.759587
-136,4,0.756022
-134,4,0.752441
-132,4,0.74885
-130,4,0.745253
-128,4,0.741654
-126,4,0.738057
-124,4,0.734467
-122,4,0.730889
-120,4,0.727327
-118,4,0.723787
-116,4,0.720272
-114,4,0.716787
-112,4,0.713338
-110,4,0.709928
-108,4,0.706563
-106,4,0.703246
-104,4,0.699984
-102,4,0.696779
-100,4,0.693638
-98,4,0.690563
-96,4,0.68756
-94,4,0.684633
-92,4,0.681786
-90,4,0.679024
-88,4,0.67635
-86,4,0.673768
-84,4,0.671282
-82,4,0.668896
-80,4,0.666613
-78,4,0.664438
-76,4,0.662372
-74,4,0.66042
-72,4,0.658583
-70,4,0.656866
-68,4,0.655271
-66,4,0.6538
-64,4,0.652455
-62,4,0.651238
-60,4,0.650152
-58,4,0.649198
-56,4,0.648378
-54,4,0.647692
-52,4,0.647142
-50,4,0.646729
-48,4,0.646453
-46,4,0.646315
-44,4,0.646316
-42,4,0.646454
-40,4,0.64673
-38,4,0.647143
-36,4,0.647693
-34,4,0.648379
-32,4,0.6492
-30,4,0.650154
-28,4,0.65124
-26,4,0.652457
-24,4,0.653802
-22,4,0.655273
-20,4,0.656869
-18,4,0.658586
-16,4,0.660422
-14,4,0.662374
-12,4,0.66444
-10,4,0.666616
-8,4,0.668898
-6,4,0.671284
-4,4,0.67377
-2,4,0.676351
0,4,0.679026
2,4,0.681788
4,4,0.684634
6,4,0.687561
8,4,0.690564
10,4,0.693638
12,4,0.696779
14,4,0.699984
16,4,0.703246
18,4,0.706562
20,4,0.709927
22,4,0.713336
24,4,0.716785
26,4,0.720269
28,4,0.723783
30,4,0.727323
32,4,0.730885
34,4,0.734462
36,4,0.738051
38,4,0.741648
40,4,0.745246
42,4,0.748843
44,4,0.752434
46,4,0.756014
48,4,0.759578
50,4,0.763123
52,4,0.766644
54,4,0.770138
56,4,0.773599
58,4,0.777025
60,4,0.780411
62,4,0.783753
64,4,0.787048
66,4,0.790292
68,4,0.793482
70,4,0.796614
72,4,0.799685
74,4,0.802691
76,4,0.80563
78,4,0.808499
80,4,0.811294
82,4,0.814014
84,4,0.816654
86,4,0.819214
88,4,0.821689
90,4,0.824079
92,4,0.82638
94,4,0.828591
96,4,0.830709
98,4,0.832733
100,4,0.834661
102,4,0.836491
104,4,0.838221
106,4,0.839851
108,4,0.841378
110,4,0.842801
112,4,0.84412
114,4,0.845332
116,4,0.846438
118,4,0.847435
120,4,0.848324
122,4,0.849103
124,4,0.849772
126,4,0.850331
128,4,0.850779
130,4,0.851115
132,4,0.851339
134,4,0.851451
136,4,0.851452
138,4,0.85134
140,4,0.851116
142,4,0.850781
144,4,0.850334
146,4,0.849776
148,4,0.849108
150,4,0.848329
152,4,0.847441
154,4,0.846444
156,4,0.845339
158,4,0.844127
160,4,0.84281
162,4,0.841387
164,4,0.83986
166,4,0.838231
168,4,0.836501
170,4,0.834672
172,4,0.832744
174,4,0.830721
176,4,0.828603
178,4,0.826392
180,4,0.824091
-180,6,0.858003
-178,6,0.854583
-176,6,0.851034
-174,6,0.847358
-172,6,0.84356
-170,6,0.839643
-168,6,0.835608
-166,6,0.831461
-164,6,0.827204
-162,6,0.822842
-160,6,0.818379
-158,6,0.813818
-156,6,0.809165
-154,6,0.804423
-152,6,0.799599
-150,6,0.794695
-148,6,0.789719
-146,6,0.784675
-144,6,0.779568
-142,6,0.774405
-140,6,0.769191
-138,6,0.763932
-136,6,0.758634
-134,6,0.753304
-132,6,0.747948
-130,6,0.742573
-128,6,0.737186
-126,6,0.731793
-124,6,0.726401
-122,6,0.721017
-120,6,0.71565
-118,6,0.710305
-116,6,0.70499
-114,6,0.699713
-112,6,0.694481
-110,6,0.689301
-108,6,0.684181
-106,6,0.679129
-104,6,0.674151
-102,6,0.669255
-100,6,0.664448
-98,6,0.659738
-96,6,0.655132
-94,6,0.650637
-92,6,0.64626
-90,6,0.642008
-88,6,0.637887
-86,6,0.633904
-84,6,0.630066
-82,6,0.626378
-80,6,0.622848
-78,6,0.619479
-76,6,0.616278
-74,6,0.613251
-72,6,0.610402
-70,6,0.607735
-68,6,0.605256
-66,6,0.602969
-64,6,0.600877
-62,6,0.598984
-60,6,0.597294
-58,6,0.595808
-56,6,0.59453
-54,6,0.593461
-52,6,0.592604
-50,6,0.59196
-48,6,0.591531
-46,6,0.591316
-44,6,0.591316
-42,6,0.591532
-40,6,0.591962
-38,6,0.592607
-36,6,0.593465
-34,6,0.594534
-32,6,0.595813
-30,6,0.597299
-28,6,0.59899
-26,6,0.600884
-24,6,0.602976
-22,6,0.605264
-20,6,0.607743
-18,6,0.61041
-16,6,0.61326
-14,6,0.616287
-12,6,0.619488
-10,6,0.622857
-8,6,0.626388
-6,6,0.630075
-4,6,0.633913
-2,6,0.637896
0,6,0.642016
2,6,0.646268
4,6,0.650645
6,6,0.65514
8,6,0.659745
10,6,0.664454
12,6,0.66926
14,6,0.674156
16,6,0.679133
18,6,0.684185
20,6,0.689304
22,6,0.694483
24,6,0.699714
26,6,0.70499
28,6,0.710303
30,6,0.715647
32,6,0.721014
34,6,0.726396
36,6,0.731787
38,6,0.737179
40,6,0.742565
42,6,0.747939
44,6,0.753293
46,6,0.758622
48,6,0.763919
50,6,0.769177
52,6,0.77439
54,6,0.779553
56,6,0.784658
58,6,0.789702
60,6,0.794677
62,6,0.79958
64,6,0.804404
66,6,0.809145
68,6,0.813797
70,6,0.818357
72,6,0.82282
74,6,0.827182
76,6,0.831438
78,6,0.835585
80,6,0.83962
82,6,0.843537
84,6,0.847335
86,6,0.851011
88,6,0.85456
90,6,0.85798
92,6,0.861269
94,6,0.864425
96,6,0.867444
98,6,0.870324
100,6,0.873065
102,6,0.875662
104,6,0.878116
106,6,0.880424
108,6,0.882584
110,6,0.884596
112,6,0.886457
114,6,0.888168
116,6,0.889726
118,6,0.891132
120,6,0.892383
122,6,0.893479
124,6,0.89442
126,6,0.895205
128,6,0.895834
130,6,0.896306
132,6,0.896621
134,6,0.896779
136,6,0.89678
138,6,0.896624
140,6,0.89631
142,6,0.895839
144,6,0.895212
146,6,0.894428
148,6,0.893488
150,6,0.892393
152,6,0.891143
154,6,0.889739
156,6,0.888182
158,6,0.886472
160,6,0.884612
162,6,0.882601
164,6,0.880441
166,6,0.878134
168,6,0.875682
170,6,0.873085
172,6,0.870345
174,6,0.867465
176,6,0.864446
178,6,0.861292
180,6,0.858003
-180,8,0.89037
-178,8,0.886037
-176,8,0.881533
-174,8,0.876861
-172,8,0.872025
-170,8,0.867027
-168,8,0.861871
-166,8,0.856562
-164,8,0.851102
-162,8,0.845497
-160,8,0.839751
-158,8,0.833868
-156,8,0.827855
-154,8,0.821716
-152,8,0.815457
-150,8,0.809085
-148,8,0.802605
-146,8,0.796024
-144,8,0.789349
-142,8,0.782588
-140,8,0.775747
-138,8,0.768834
-136,8,0.761858
-134,8,0.754827
-132,8,0.747748
-130,8,0.740632
-128,8,0.733486
-126,8,0.726321
-124,8,0.719146
-122,8,0.711969
-120,8,0.704802
-118,8,0.697654
-116,8,0.690535
-114,8,0.683455
-112,8,0.676425
-110,8,0.669455
-108,8,0.662556
-106,8,0.655737
-104,8,0.649011
-102,8,0.642387
-100,8,0.635875
-98,8,0.629487
-96,8,0.623232
-94,8,0.617121
-92,8,0.611163
-90,8,0.605369
-88,8,0.599749
-86,8,0.594312
-84,8,0.589067
-82,8,0.584024
-80,8,0.579191
-78,8,0.574577
-76,8,0.570189
-74,8,0.566036
-72,8,0.562125
-70,8,0.558462
-68,8,0.555056
-66,8,0.55191
-64,8,0.549033
-62,8,0.546428
-60,8,0.5441
-58,8,0.542054
-56,8,0.540293
-54,8,0.538821
-52,8,0.53764
-50,8,0.536753
-48,8,0.536161
-46,8,0.535865
-44,8,0.535865
-42,8,0.536163
-40,8,0.536757
-38,8,0.537646
-36,8,0.538828
-34,8,0.540302
-32,8,0.542064
-30,8,0.544112
-28,8,0.546441
-26,8,0.549047
-24,8,0.551926
-22,8,0.555072
-20,8,0.55848
-18,8,0.562143
-16,8,0.566055
-14,8,0.570208
-12,8,0.574597
-10,8,0.579211
-8,8,0.584045
-6,8,0.589088
-4,8,0.594333
-2,8,0.59977
0,8,0.605389
2,8,0.611183
4,8,0.617139
6,8,0.62325
8,8,0.629504
10,8,0.635892
12,8,0.642402
14,8,0.649025
16,8,0.65575
18,8,0.662567
20,8,0.669465
22,8,0.676433
24,8,0.683461
26,8,0.690539
28,8,0.697657
30,8,0.704803
32,8,0.711968
34,8,0.719143
36,8,0.726317
38,8,0.73348
40,8,0.740623
42,8,0.747738
44,8,0.754814
46,8,0.761844
48,8,0.768818
50,8,0.775729
52,8,0.782568
54,8,0.789328
56,8,0.796001
58,8,0.80258
60,8,0.809058
62,8,0.81543
64,8,0.821687
66,8,0.827825
68,8,0.833837
70,8,0.839718
72,8,0.845464
74,8,0.851068
76,8,0.856527
78,8,0.861837
80,8,0.866992
82,8,0.87199
84,8,0.876826
86,8,0.881498
88,8,0.886002
90,8,0.890336
92,8,0.894496
94,8,0.898481
96,8,0.902288
98,8,0.905916
100,8,0.909361
102,8,0.912623
104,8,0.9157
106,8,0.918591
108,8,0.921293
110,8,0.923807
112,8,0.926132
114,8,0.928265
116,8,0.930207
118,8,0.931957
120,8,0.933514
122,8,0.934877
124,8,0.936047
126,8,0.937022
128,8,0.937803
130,8,0.938389
132,8,0.93878
134,8,0.938976
136,8,0.938978
138,8,0.938784
140,8,0.938394
142,8,0.93781
144,8,0.937032
146,8,0.936058
148,8,0.934891
150,8,0.933529
152,8,0.931974
154,8,0.930227
156,8,0.928286
158,8,0.926155
160,8,0.923832
162,8,0.92132
164,8,0.918618
166,8,0.915729
168,8,0.912653
170,8,0.909392
172,8,0.905948
174,8,0.902321
176,8,0.898515
178,8,0.894531
180,8,0.89037
-180,10,0.920918
-178,10,0.915793
-176,10,0.910457
-174,10,0.904913
-172,10,0.899162
-170,10,0.893209
-168,10,0.887056
-166,10,0.880707
-164,10,0.874166
-162,10,0.867438
-160,10,0.860528
-158,10,0.853439
-156,10,0.846179
-154,10,0.838753
-152,10,0.831167
-150,10,0.823428
-148,10,0.815544
-146,10,0.807521
-144,10,0.799368
-142,10,0.791093
-140,10,0.782706
-138,10,0.774215
-136,10,0.76563
-134,10,0.756961
-132,10,0.748218
-130,10,0.739413
-128,10,0.730557
-126,10,0.721661
-124,10,0.712738
-122,10,0.703798
-120,10,0.694856
-118,10,0.685924
-116,10,0.677014
-114,10,0.66814
-112,10,0.659316
-110,10,0.650555
-108,10,0.64187
-106,10,0.633277
-104,10,0.624788
-102,10,0.616418
-100,10,0.60818
-98,10,0.600088
-96,10,0.592157
-94,10,0.584399
-92,10,0.576829
-90,10,0.56946
-88,10,0.562305
-86,10,0.555377
-84,10,0.548688
-82,10,0.542251
