Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.54638
-178,0,0.54638
-176,0,0.54638
-174,0,0.54638
-172,0,0.54638
-170,0,0.54638
-168,0,0.54638
-166,0,0.54638
-164,0,0.54638
-162,0,0.54638
-160,0,0.54638
-158,0,0.54638
-156,0,0.54638
-154,0,0.54638
-152,0,0.54638
-150,0,0.54638
-148,0,0.54638
-146,0,0.54638
-144,0,0.54638
-142,0,0.54638
-140,0,0.54638
-138,0,0.54638
-136,0,0.54638
-134,0,0.54638
-132,0,0.54638
-130,0,0.54638
-128,0,0.54638
-126,0,0.54638
-124,0,0.54638
-122,0,0.54638
-120,0,0.54638
-118,0,0.54638
-116,0,0.54638
-114,0,0.54638
-112,0,0.54638
-110,0,0.54638
-108,0,0.54638
-106,0,0.54638
-104,0,0.54638
-102,0,0.54638
-100,0,0.54638
-98,0,0.54638
-96,0,0.54638
-94,0,0.54638
-92,0,0.54638
-90,0,0.54638
-88,0,0.54638
-86,0,0.54638
-84,0,0.54638
-82,0,0.54638
-80,0,0.54638
-78,0,0.54638
-76,0,0.54638
-74,0,0.54638
-72,0,0.54638
-70,0,0.54638
-68,0,0.54638
-66,0,0.54638
-64,0,0.54638
-62,0,0.54638
-60,0,0.54638
-58,0,0.54638
-56,0,0.54638
-54,0,0.54638
-52,0,0.54638
-50,0,0.54638
-48,0,0.54638
-46,0,0.54638
-44,0,0.54638
-42,0,0.54638
-40,0,0.54638
-38,0,0.54638
-36,0,0.54638
-34,0,0.54638
-32,0,0.54638
-30,0,0.54638
-28,0,0.54638
-26,0,0.54638
-24,0,0.54638
-22,0,0.54638
-20,0,0.54638
-18,0,0.54638
-16,0,0.54638
-14,0,0.54638
-12,0,0.54638
-10,0,0.54638
-8,0,0.54638
-6,0,0.54638
-4,0,0.54638
-2,0,0.54638
0,0,0.54638
2,0,0.54638
4,0,0.54638
6,0,0.54638
8,0,0.54638
10,0,0.54638
12,0,0.54638
14,0,0.54638
16,0,0.54638
18,0,0.54638
20,0,0.54638
22,0,0.54638
24,0,0.54638
26,0,0.54638
28,0,0.54638
30,0,0.54638
32,0,0.54638
34,0,0.54638
36,0,0.54638
38,0,0.54638
40,0,0.54638
42,0,0.54638
44,0,0.54638
46,0,0.54638
48,0,0.54638
50,0,0.54638
52,0,0.54638
54,0,0.54638
56,0,0.54638
58,0,0.54638
60,0,0.54638
62,0,0.54638
64,0,0.54638
66,0,0.54638
68,0,0.54638
70,0,0.54638
72,0,0.54638
