Phi[deg],Theta[deg],re(rEX)[mV],im(rEX)[mV],re(rEY)[mV],im(rEY)[mV],re(rEZ)[mV],im(rEZ)[mV]
-180,0,-1730.42,-676.823,-1731.83,-677.885,-6.92034e-15,8.85149e-14
-178,0,-1730.42,-676.823,-1731.83,-677.885,-1.01027e-14,5.4073e-14
-176,0,-1730.42,-676.823,-1731.83,-677.885,-2.17196e-14,2.46843e-14
-174,0,-1730.42,-676.823,-1731.83,-677.885,-3.92018e-14,4.88165e-15
-172,0,-1730.42,-676.823,-1731.83,-677.885,-5.88629e-14,-3.05345e-15
-170,0,-1730.42,-676.823,-1731.83,-677.885,-7.66659e-14,6.43179e-16
-168,0,-1730.42,-676.823,-1731.83,-677.885,-8.91008e-14,1.35418e-14
-166,0,-1730.42,-676.823,-1731.83,-677.885,-9.39911e-14,3.18087e-14
-164,0,-1730.42,-676.823,-1731.83,-677.885,-9.10464e-14,5.12405e-14
-162,0,-1730.42,-676.823,-1731.83,-677.885,-8.20164e-14,6.82843e-14
-160,0,-1730.42,-676.823,-1731.83,-677.885,-7.03831e-14,8.08084e-14
-158,0,-1730.42,-676.823,-1731.83,-677.885,-6.06233e-14,8.84687e-14
-156,0,-1730.42,-676.823,-1731.83,-677.885,-5.71823e-14,9.26154e-14
-154,0,-1730.42,-676.823,-1731.83,-677.885,-6.33748e-14,9.57938e-14
-152,0,-1730.42,-676.823,-1731.83,-677.885,-8.04695e-14,1.00975e-13
-150,0,-1730.42,-676.823,-1731.83,-677.885,-1.07189e-13,1.10701e-13
-148,0,-1730.42,-676.823,-1731.83,-677.885,-1.39778e-13,1.26333e-13
-146,0,-1730.42,-676.823,-1731.83,-677.885,-1.72667e-13,1.47562e-13
-144,0,-1730.42,-676.823,-1731.83,-677.885,-1.99612e-13,1.72288e-13
-142,0,-1730.42,-676.823,-1731.83,-677.885,-2.15088e-13,1.96883e-13
-140,0,-1730.42,-676.823,-1731.83,-677.885,-2.15595e-13,2.16807e-13
-138,0,-1730.42,-676.823,-1731.83,-677.885,-2.0059e-13,2.27458e-13
-136,0,-1730.42,-676.823,-1731.83,-677.885,-1.72778e-13,2.25103e-13
-134,0,-1730.42,-676.823,-1731.83,-677.885,-1.3768e-13,2.07711e-13
-132,0,-1730.42,-676.823,-1731.83,-677.885,-1.02524e-13,1.75525e-13
-130,0,-1730.42,-676.823,-1731.83,-677.885,-7.47116e-14,1.31247e-13
-128,0,-1730.42,-676.823,-1731.83,-677.885,-6.01903e-14,7.97583e-14
-126,0,-1730.42,-676.823,-1731.83,-677.885,-6.21104e-14,2.74217e-14
-124,0,-1730.42,-676.823,-1731.83,-677.885,-8.00941e-14,-1.89569e-14
-122,0,-1730.42,-676.823,-1731.83,-677.885,-1.10291e-13,-5.33041e-14
-120,0,-1730.42,-676.823,-1731.83,-677.885,-1.46225e-13,-7.13802e-14
-118,0,-1730.42,-676.823,-1731.83,-677.885,-1.80232e-13,-7.15775e-14
