Phi[deg],Theta[deg],GainTotal
-180,0,1.5778
-178,0,1.5778
-176,0,1.5778
-174,0,1.5778
-172,0,1.5778
-170,0,1.5778
-168,0,1.5778
-166,0,1.5778
-164,0,1.5778
-162,0,1.5778
-160,0,1.5778
-158,0,1.5778
-156,0,1.5778
-154,0,1.5778
-152,0,1.5778
-150,0,1.5778
-148,0,1.5778
-146,0,1.5778
-144,0,1.5778
-142,0,1.5778
-140,0,1.5778
-138,0,1.5778
-136,0,1.5778
-134,0,1.5778
-132,0,1.5778
-130,0,1.5778
-128,0,1.5778
-126,0,1.5778
-124,0,1.5778
-122,0,1.5778
-120,0,1.5778
-118,0,1.5778
-116,0,1.5778
-114,0,1.5778
-112,0,1.5778
-110,0,1.5778
-108,0,1.5778
-106,0,1.5778
-104,0,1.5778
-102,0,1.5778
-100,0,1.5778
-98,0,1.5778
-96,0,1.5778
-94,0,1.5778
-92,0,1.5778
-90,0,1.5778
-88,0,1.5778
-86,0,1.5778
-84,0,1.5778
-82,0,1.5778
-80,0,1.5778
-78,0,1.5778
-76,0,1.5778
-74,0,1.5778
-72,0,1.5778
-70,0,1.5778
-68,0,1.5778
-66,0,1.5778
-64,0,1.5778
-62,0,1.5778
-60,0,1.5778
-58,0,1.5778
-56,0,1.5778
-54,0,1.5778
-52,0,1.5778
-50,0,1.5778
-48,0,1.5778
-46,0,1.5778
-44,0,1.5778
-42,0,1.5778
-40,0,1.5778
-38,0,1.5778
-36,0,1.5778
-34,0,1.5778
-32,0,1.5778
-30,0,1.5778
-28,0,1.5778
-26,0,1.5778
-24,0,1.5778
-22,0,1.5778
-20,0,1.5778
-18,0,1.5778
-16,0,1.5778
-14,0,1.5778
-12,0,1.5778
-10,0,1.5778
-8,0,1.5778
-6,0,1.5778
-4,0,1.5778
-2,0,1.5778
0,0,1.5778
2,0,1.5778
4,0,1.5778
6,0,1.5778
8,0,1.5778
10,0,1.5778
12,0,1.5778
14,0,1.5778
16,0,1.5778
18,0,1.5778
20,0,1.5778
22,0,1.5778
24,0,1.5778
26,0,1.5778
28,0,1.5778
30,0,1.5778
32,0,1.5778
34,0,1.5778
36,0,1.5778
38,0,1.5778
40,0,1.5778
42,0,1.5778
44,0,1.5778
46,0,1.5778
48,0,1.5778
50,0,1.5778
52,0,1.5778
54,0,1.5778
56,0,1.5778
58,0,1.5778
60,0,1.5778
62,0,1.5778
64,0,1.5778
66,0,1.5778
68,0,1.5778
70,0,1.5778
72,0,1.5778
74,0,1.5778
76,0,1.5778
78,0,1.5778
80,0,1.5778
82,0,1.5778
84,0,1.5778
86,0,1.5778
88,0,1.5778
90,0,1.5778
92,0,1.5778
94,0,1.5778
96,0,1.5778
98,0,1.5778
100,0,1.5778
102,0,1.5778
104,0,1.5778
106,0,1.5778
108,0,1.5778
110,0,1.5778
112,0,1.5778
114,0,1.5778
116,0,1.5778
118,0,1.5778
120,0,1.5778
122,0,1.5778
124,0,1.5778
