Phi[deg],Theta[deg],re(rEX)[mV]
-52,2,3.30531
-50,2,3.35276
-48,2,3.38334
-46,2,3.39688
-44,2,3.3933
-42,2,3.37261
-40,2,3.3349
-38,2,3.28033
-36,2,3.20917
-34,2,3.12174
-32,2,3.01846
-30,2,2.89983
-28,2,2.76641
-26,2,2.61884
-24,2,2.45784
-22,2,2.28419
-20,2,2.09871
-18,2,1.90231
-16,2,1.69594
-14,2,1.4806
-12,2,1.25733
-10,2,1.02722
-8,2,0.791378
-6,2,0.550959
-4,2,0.30713
-2,2,0.0610763
0,2,-0.186004
2,2,-0.432907
4,2,-0.67843
6,2,-0.921375
8,2,-1.16056
10,2,-1.39481
12,2,-1.62299
14,2,-1.84398
16,2,-2.05669
18,2,-2.2601
20,2,-2.45319
22,2,-2.63504
24,2,-2.80473
26,2,-2.96144
28,2,-3.1044
30,2,-3.2329
32,2,-3.34631
34,2,-3.44407
36,2,-3.52568
38,2,-3.59074
40,2,-3.63892
42,2,-3.66998
44,2,-3.68375
46,2,-3.68016
48,2,-3.6592
50,2,-3.62096
52,2,-3.56563
54,2,-3.49344
56,2,-3.40475
58,2,-3.29996
60,2,-3.17957
62,2,-3.04416
64,2,-2.89436
66,2,-2.73089
68,2,-2.55452
70,2,-2.36611
72,2,-2.16655
74,2,-1.9568
76,2,-1.73785
78,2,-1.51076
80,2,-1.27662
82,2,-1.03655
84,2,-0.791703
86,2,-0.543249
88,2,-0.292381
90,2,-0.0403044
92,2,0.211772
94,2,0.462639
96,2,0.711092
98,2,0.95594
100,2,1.19601
102,2,1.43014
104,2,1.65723
106,2,1.87617
108,2,2.08592
110,2,2.28548
112,2,2.47388
114,2,2.65024
116,2,2.8137
118,2,2.96349
120,2,3.0989
122,2,3.21928
124,2,3.32406
126,2,3.41274
128,2,3.48492
130,2,3.54024
132,2,3.57846
134,2,3.59941
136,2,3.60299
138,2,3.58921
140,2,3.55814
142,2,3.50994
144,2,3.44486
146,2,3.36323
148,2,3.26546
150,2,3.15203
152,2,3.02352
154,2,2.88054
156,2,2.7238
158,2,2.55409
160,2,2.37223
162,2,2.17911
164,2,1.97568
166,2,1.76294
168,2,1.54193
170,2,1.31373
172,2,1.07945
174,2,0.840246
176,2,0.597276
178,2,0.351728
180,2,0.104799
-180,4,0.249865
-178,4,-0.735788
-176,4,-1.71699
-174,4,-2.68897
-172,4,-3.647
-170,4,-4.5864
-168,4,-5.50261
-166,4,-6.39117
-164,4,-7.24776
-162,4,-8.06822
-160,4,-8.84856
-158,4,-9.585
-156,4,-10.2739
-154,4,-10.9121
-152,4,-11.4963
-150,4,-12.0237
-148,4,-12.4919
-146,4,-12.8985
-144,4,-13.2416
-142,4,-13.5195
-140,4,-13.7309
-138,4,-13.8748
-136,4,-13.9505
-134,4,-13.9576
-132,4,-13.8963
-130,4,-13.7667
-128,4,-13.5696
-126,4,-13.3059
-124,4,-12.977
-122,4,-12.5844
-120,4,-12.1302
-118,4,-11.6166
-116,4,-11.046
-114,4,-10.4214
-112,4,-9.74579
-110,4,-9.02249
-108,4,-8.25508
-106,4,-7.44732
-104,4,-6.60319
-102,4,-5.72684
