Phi[deg],Theta[deg],im(rEY)[mV]
34,2,-55.0861
36,2,-57.942
38,2,-60.7263
40,2,-63.4356
42,2,-66.0666
44,2,-68.6161
46,2,-71.0809
48,2,-73.4581
50,2,-75.7449
52,2,-77.9383
54,2,-80.0358
56,2,-82.0348
58,2,-83.9329
60,2,-85.7278
62,2,-87.4172
64,2,-88.9992
66,2,-90.4719
68,2,-91.8334
70,2,-93.082
72,2,-94.2164
74,2,-95.2351
76,2,-96.1368
78,2,-96.9205
80,2,-97.5853
82,2,-98.1303
84,2,-98.5548
86,2,-98.8584
88,2,-99.0407
90,2,-99.1014
92,2,-99.0405
94,2,-98.8581
96,2,-98.5544
98,2,-98.1298
100,2,-97.5847
102,2,-96.9198
104,2,-96.136
106,2,-95.2341
108,2,-94.2154
110,2,-93.0809
112,2,-91.8321
114,2,-90.4706
116,2,-88.9978
118,2,-87.4157
120,2,-85.7262
122,2,-83.9313
124,2,-82.0331
126,2,-80.0341
128,2,-77.9365
130,2,-75.743
132,2,-73.4563
134,2,-71.079
136,2,-68.6142
138,2,-66.0647
140,2,-63.4337
142,2,-60.7244
144,2,-57.9401
146,2,-55.0842
148,2,-52.1602
150,2,-49.1715
152,2,-46.1219
154,2,-43.0151
156,2,-39.8548
158,2,-36.645
160,2,-33.3895
162,2,-30.0922
164,2,-26.7573
166,2,-23.3888
168,2,-19.9907
170,2,-16.5673
172,2,-13.1227
174,2,-9.66115
176,2,-6.18683
178,2,-2.704
180,2,0.783089
-180,4,0.784953
-178,4,7.73029
-176,4,14.6671
-174,4,21.5869
-172,4,28.4812
-170,4,35.3414
-168,4,42.1593
-166,4,48.9264
-164,4,55.6344
-162,4,62.2751
-160,4,68.8404
-158,4,75.3223
-156,4,81.7127
-154,4,88.0039
-152,4,94.1883
-150,4,100.258
-148,4,106.206
-146,4,112.025
-144,4,117.708
-142,4,123.248
-140,4,128.638
-138,4,133.872
-136,4,138.943
-134,4,143.845
-132,4,148.573
-130,4,153.12
-128,4,157.481
-126,4,161.651
-124,4,165.625
-122,4,169.397
-120,4,172.965
-118,4,176.322
-116,4,179.466
-114,4,182.392
-112,4,185.098
-110,4,187.578
-108,4,189.832
-106,4,191.856
-104,4,193.647
-102,4,195.204
-100,4,196.524
-98,4,197.607
-96,4,198.45
-94,4,199.054
-92,4,199.416
-90,4,199.537
-88,4,199.416
-86,4,199.054
-84,4,198.451
-82,4,197.608
-80,4,196.526
-78,4,195.206
-76,4,193.649
-74,4,191.858
-72,4,189.835
-70,4,187.581
-68,4,185.101
-66,4,182.396
-64,4,179.47
-62,4,176.326
-60,4,172.969
-58,4,169.402
-56,4,165.629
-54,4,161.655
-52,4,157.485
-50,4,153.124
-48,4,148.577
-46,4,143.85
-44,4,138.947
-42,4,133.876
-40,4,128.642
-38,4,123.252
-36,4,117.712
-34,4,112.029
-32,4,106.21
-30,4,100.262
-28,4,94.1916
-26,4,88.007
-24,4,81.7155
-22,4,75.3248
-20,4,68.8426
-18,4,62.277
-16,4,55.6359
-14,4,48.9276
-12,4,42.1601
-10,4,35.3419
-8,4,28.4813
-6,4,21.5866
-4,4,14.6665
-2,4,7.72926
0,4,0.783542
2,4,-6.16216
4,4,-13.0993
6,4,-20.0194
8,4,-26.9139
10,4,-33.7744
12,4,-40.5924
14,4,-47.3597
16,4,-54.0678
18,4,-60.7086
20,4,-67.2739
22,4,-73.7557
24,4,-80.1461
26,4,-86.4372
28,4,-92.6214
30,4,-98.6911
32,4,-104.639
34,4,-110.458
36,4,-116.14
38,4,-121.68
40,4,-127.069
42,4,-132.303
44,4,-137.373
46,4,-142.275
48,4,-147.002
50,4,-151.549
52,4,-155.909
54,4,-160.079
56,4,-164.052
58,4,-167.824
60,4,-171.391
62,4,-174.748
64,4,-177.891
66,4,-180.817
68,4,-183.521
70,4,-186.002
72,4,-188.255
74,4,-190.278
76,4,-192.068
78,4,-193.625
80,4,-194.945
82,4,-196.027
84,4,-196.87
86,4,-197.472
88,4,-197.834
90,4,-197.955
92,4,-197.834
94,4,-197.472
96,4,-196.868
98,4,-196.025
100,4,-194.943
102,4,-193.622
104,4,-192.066
106,4,-190.274
108,4,-188.251
110,4,-185.998
112,4,-183.517
114,4,-180.812
116,4,-177.886
118,4,-174.743
120,4,-171.385
122,4,-167.819
124,4,-164.046
126,4,-160.073
128,4,-155.903
130,4,-151.542
132,4,-146.996
134,4,-142.269
136,4,-137.367
138,4,-132.296
140,4,-127.063
142,4,-121.673
144,4,-116.134
146,4,-110.451
148,4,-104.633
150,4,-98.6852
152,4,-92.6156
154,4,-86.4316
156,4,-80.1407
158,4,-73.7506
160,4,-67.269
162,4,-60.704
164,4,-54.0635
166,4,-47.3557
168,4,-40.5888
170,4,-33.7711
172,4,-26.911
174,4,-20.0168
176,4,-13.0971
178,4,-6.16037
180,4,0.784953
-180,6,0.78783
-178,6,11.1344
-176,6,21.4681
-174,6,31.7763
-172,6,42.046
-170,6,52.2646
-168,6,62.4195
-166,6,72.4981
-164,6,82.4878
-162,6,92.3765
-160,6,102.152
-158,6,111.802
-156,6,121.315
-154,6,130.678
-152,6,139.882
-150,6,148.914
-148,6,157.763
-146,6,166.419
-144,6,174.871
-142,6,183.109
-140,6,191.123
-138,6,198.903
-136,6,206.439
-134,6,213.724
-132,6,220.748
-130,6,227.502
-128,6,233.979
-126,6,240.171
-124,6,246.071
-122,6,251.671
-120,6,256.966
-118,6,261.948
-116,6,266.612
-114,6,270.953
-112,6,274.966
-110,6,278.645
-108,6,281.987
-106,6,284.988
-104,6,287.644
-102,6,289.952
-100,6,291.91
-98,6,293.514
-96,6,294.764
-94,6,295.659
-92,6,296.196
-90,6,296.375
-88,6,296.196
-86,6,295.66
-84,6,294.767
-82,6,293.517
-80,6,291.913
-78,6,289.957
-76,6,287.649
-74,6,284.994
-72,6,281.994
-70,6,278.653
-68,6,274.974
-66,6,270.962
-64,6,266.621
-62,6,261.957
-60,6,256.975
-58,6,251.681
-56,6,246.081
-54,6,240.181
-52,6,233.99
-50,6,227.513
-48,6,220.758
-46,6,213.735
-44,6,206.45
-42,6,198.913
-40,6,191.133
-38,6,183.119
-36,6,174.881
-34,6,166.429
-32,6,157.772
-30,6,148.923
