Phi[deg],Theta[deg],GainTotal
-180,0,2.23944
-178,0,2.23944
-176,0,2.23944
-174,0,2.23944
-172,0,2.23944
-170,0,2.23944
-168,0,2.23944
-166,0,2.23944
-164,0,2.23944
-162,0,2.23944
-160,0,2.23944
-158,0,2.23944
-156,0,2.23944
-154,0,2.23944
-152,0,2.23944
-150,0,2.23944
-148,0,2.23944
-146,0,2.23944
-144,0,2.23944
-142,0,2.23944
-140,0,2.23944
-138,0,2.23944
-136,0,2.23944
-134,0,2.23944
-132,0,2.23944
-130,0,2.23944
-128,0,2.23944
-126,0,2.23944
-124,0,2.23944
-122,0,2.23944
-120,0,2.23944
-118,0,2.23944
-116,0,2.23944
-114,0,2.23944
-112,0,2.23944
-110,0,2.23944
-108,0,2.23944
-106,0,2.23944
-104,0,2.23944
-102,0,2.23944
-100,0,2.23944
-98,0,2.23944
-96,0,2.23944
-94,0,2.23944
-92,0,2.23944
-90,0,2.23944
-88,0,2.23944
-86,0,2.23944
-84,0,2.23944
-82,0,2.23944
-80,0,2.23944
-78,0,2.23944
-76,0,2.23944
-74,0,2.23944
-72,0,2.23944
-70,0,2.23944
-68,0,2.23944
-66,0,2.23944
-64,0,2.23944
-62,0,2.23944
-60,0,2.23944
-58,0,2.23944
-56,0,2.23944
-54,0,2.23944
-52,0,2.23944
-50,0,2.23944
-48,0,2.23944
-46,0,2.23944
-44,0,2.23944
-42,0,2.23944
-40,0,2.23944
-38,0,2.23944
-36,0,2.23944
-34,0,2.23944
-32,0,2.23944
-30,0,2.23944
-28,0,2.23944
-26,0,2.23944
-24,0,2.23944
-22,0,2.23944
-20,0,2.23944
-18,0,2.23944
-16,0,2.23944
-14,0,2.23944
-12,0,2.23944
-10,0,2.23944
-8,0,2.23944
-6,0,2.23944
-4,0,2.23944
-2,0,2.23944
0,0,2.23944
2,0,2.23944
4,0,2.23944
6,0,2.23944
8,0,2.23944
10,0,2.23944
12,0,2.23944
14,0,2.23944
16,0,2.23944
18,0,2.23944
20,0,2.23944
22,0,2.23944
24,0,2.23944
26,0,2.23944
28,0,2.23944
30,0,2.23944
32,0,2.23944
34,0,2.23944
36,0,2.23944
38,0,2.23944
40,0,2.23944
42,0,2.23944
44,0,2.23944
46,0,2.23944
48,0,2.23944
50,0,2.23944
52,0,2.23944
54,0,2.23944
56,0,2.23944
58,0,2.23944
60,0,2.23944
62,0,2.23944
64,0,2.23944
66,0,2.23944
68,0,2.23944
70,0,2.23944
72,0,2.23944
74,0,2.23944
76,0,2.23944
78,0,2.23944
80,0,2.23944
82,0,2.23944
84,0,2.23944
86,0,2.23944
88,0,2.23944
90,0,2.23944
92,0,2.23944
94,0,2.23944
96,0,2.23944
98,0,2.23944
100,0,2.23944
102,0,2.23944
104,0,2.23944
106,0,2.23944
108,0,2.23944
110,0,2.23944
112,0,2.23944
114,0,2.23944
116,0,2.23944
118,0,2.23944
120,0,2.23944
122,0,2.23944
124,0,2.23944
126,0,2.23944
128,0,2.23944
130,0,2.23944
132,0,2.23944
134,0,2.23944
136,0,2.23944
138,0,2.23944
140,0,2.23944
142,0,2.23944
144,0,2.23944
146,0,2.23944
148,0,2.23944
150,0,2.23944
152,0,2.23944
154,0,2.23944
156,0,2.23944
158,0,2.23944
160,0,2.23944
162,0,2.23944
164,0,2.23944
166,0,2.23944
168,0,2.23944
170,0,2.23944
172,0,2.23944
174,0,2.23944
176,0,2.23944
178,0,2.23944
180,0,2.23944
-180,2,2.33232
-178,2,2.32917
-176,2,2.3259
-174,2,2.32251
-172,2,2.31902
-170,2,2.31541
-168,2,2.3117
-166,2,2.30789
-164,2,2.30397
-162,2,2.29996
-160,2,2.29586
-158,2,2.29167
-156,2,2.2874
-154,2,2.28304
-152,2,2.27861
-150,2,2.27411
-148,2,2.26954
-146,2,2.2649
-144,2,2.26021
-142,2,2.25547
-140,2,2.25067
-138,2,2.24584
-136,2,2.24097
-134,2,2.23607
-132,2,2.23114
-130,2,2.22619
-128,2,2.22123
-126,2,2.21627
-124,2,2.2113
-122,2,2.20634
-120,2,2.20138
-118,2,2.19645
-116,2,2.19154
-114,2,2.18667
-112,2,2.18183
-110,2,2.17704
-108,2,2.1723
-106,2,2.16762
-104,2,2.16301
-102,2,2.15847
-100,2,2.15401
-98,2,2.14963
-96,2,2.14535
-94,2,2.14117
-92,2,2.1371
-90,2,2.13314
-88,2,2.1293
-86,2,2.12559
-84,2,2.12201
-82,2,2.11857
-80,2,2.11527
-78,2,2.11213
-76,2,2.10913
-74,2,2.1063
-72,2,2.10364
-70,2,2.10114
-68,2,2.09882
-66,2,2.09668
-64,2,2.09472
-62,2,2.09294
-60,2,2.09136
-58,2,2.08997
-56,2,2.08877
-54,2,2.08777
-52,2,2.08696
-50,2,2.08636
-48,2,2.08596
-46,2,2.08576
-44,2,2.08576
-42,2,2.08596
-40,2,2.08637
-38,2,2.08698
-36,2,2.08779
-34,2,2.08879
-32,2,2.09
-30,2,2.09139
-28,2,2.09298
-26,2,2.09476
-24,2,2.09673
-22,2,2.09887
-20,2,2.1012
-18,2,2.1037
-16,2,2.10637
-14,2,2.1092
-12,2,2.1122
-10,2,2.11535
-8,2,2.11865
-6,2,2.12209
-4,2,2.12568
-2,2,2.12939
0,2,2.13323
2,2,2.13719
4,2,2.14127
6,2,2.14545
8,2,2.14973
10,2,2.15411
12,2,2.15857
14,2,2.16311
16,2,2.16773
18,2,2.17241
20,2,2.17715
22,2,2.18194
24,2,2.18678
26,2,2.19165
28,2,2.19656
30,2,2.20149
32,2,2.20644
34,2,2.21141
36,2,2.21638
38,2,2.22134
40,2,2.2263
42,2,2.23125
44,2,2.23617
46,2,2.24107
48,2,2.24594
50,2,2.25078
52,2,2.25557
54,2,2.26031
56,2,2.265
58,2,2.26963
60,2,2.2742
62,2,2.2787
64,2,2.28313
66,2,2.28748
68,2,2.29176
70,2,2.29594
72,2,2.30004
74,2,2.30405
76,2,2.30796
78,2,2.31177
80,2,2.31548
82,2,2.31908
84,2,2.32258
86,2,2.32596
88,2,2.32923
90,2,2.33237
92,2,2.3354
94,2,2.33831
96,2,2.34109
98,2,2.34375
100,2,2.34628
102,2,2.34867
104,2,2.35094
106,2,2.35307
108,2,2.35507
110,2,2.35692
112,2,2.35864
114,2,2.36023
116,2,2.36167
118,2,2.36297
120,2,2.36412
122,2,2.36514
124,2,2.36601
126,2,2.36673
128,2,2.36731
130,2,2.36775
132,2,2.36804
134,2,2.36818
136,2,2.36818
138,2,2.36804
140,2,2.36774
142,2,2.3673
144,2,2.36672
146,2,2.36599
148,2,2.36512
150,2,2.3641
152,2,2.36294
154,2,2.36164
156,2,2.3602
158,2,2.35862
160,2,2.35689
162,2,2.35503
164,2,2.35303
166,2,2.3509
168,2,2.34863
170,2,2.34623
172,2,2.3437
174,2,2.34104
176,2,2.33826
178,2,2.33535
180,2,2.33232
-180,4,2.41275
-178,4,2.40706
-176,4,2.40114
-174,4,2.39499
-172,4,2.38862
-170,4,2.38203
-168,4,2.37522
-166,4,2.36819
-164,4,2.36095
-162,4,2.35351
-160,4,2.34586
-158,4,2.338
-156,4,2.32996
-154,4,2.32173
-152,4,2.31331
-150,4,2.30471
-148,4,2.29594
-146,4,2.28701
-144,4,2.27791
-142,4,2.26867
-140,4,2.25929
-138,4,2.24977
-136,4,2.24012
-134,4,2.23037
-132,4,2.2205
-130,4,2.21055
-128,4,2.20051
-126,4,2.1904
-124,4,2.18023
-122,4,2.17002
-120,4,2.15977
-118,4,2.14951
-116,4,2.13924
-114,4,2.12899
-112,4,2.11876
-110,4,2.10858
-108,4,2.09845
-106,4,2.0884
-104,4,2.07845
-102,4,2.0686
-100,4,2.05888
-98,4,2.04931
-96,4,2.0399
-94,4,2.03067
-92,4,2.02164
-90,4,2.01282
-88,4,2.00424
-86,4,1.99591
-84,4,1.98784
-82,4,1.98006
-80,4,1.97259
-78,4,1.96543
-76,4,1.9586
-74,4,1.95212
-72,4,1.946
-70,4,1.94026
-68,4,1.93491
-66,4,1.92996
-64,4,1.92542
-62,4,1.92131
-60,4,1.91763
-58,4,1.91439
-56,4,1.9116
-54,4,1.90926
-52,4,1.90739
-50,4,1.90598
